::1 - Sat May 10 2025 18:55:38 GMT+0800 (Philippine Standard Time) - GET / HTTP/1.1 - - - - - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:15:21 GMT+0800 (Philippine Standard Time) - GET / HTTP/1.1 - - - - - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:23:55 GMT+0800 (Philippine Standard Time) - GET / HTTP/1.1 - - - - - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:25:28 GMT+0800 (Philippine Standard Time) - GET / HTTP/1.1 - - - - - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:25:28 GMT+0800 (Philippine Standard Time) - GET /users HTTP/1.1 200 23 - 4 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:25:28 GMT+0800 (Philippine Standard Time) - GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:25:28 GMT+0800 (Philippine Standard Time) - GET /favicon.ico HTTP/1.1 200 - - 2 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:27:17 GMT+0800 (Philippine Standard Time) - GET /users HTTP/1.1 500 31 - 5 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:27:17 GMT+0800 (Philippine Standard Time) - GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1 404 35 - 2 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:27:35 GMT+0800 (Philippine Standard Time) - GET /users HTTP/1.1 500 129 - 12 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
::1 - Sat May 10 2025 19:27:35 GMT+0800 (Philippine Standard Time) - GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36
